Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FullTimeResult,HTHG,HTAG,HTR,Referee,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,HF,AF,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HR,AR,ResultCode,GoalDiff,TotalGoals,HomeForm,AwayForm,FormDiff
,Fiorentina,Verona,2,0,H,1,0,H,,15,8,9,1,18,17,7,3,4,4,0,0,1,2,2,0.5,0.5,0.0
,Monza,Juventus,1,0,H,0,0,D,,17,10,4,2,16,17,5,3,2,1,0,1,1,1,1,0.5,0.5,0.0
,Roma,Atalanta,0,1,A,0,1,A,,21,4,5,1,9,19,5,1,0,7,0,0,-1,-1,1,0.5,0.5,0.0
,Milan,Napoli,1,2,A,0,0,D,,22,9,5,4,18,11,9,4,4,3,0,0,-1,-1,3,0.5,0.5,0.0
,Napoli,Torino,3,1,H,3,1,H,,15,16,7,3,4,17,4,4,0,2,0,0,1,2,4,0.5,0.5,0.0
,Inter,Roma,1,2,A,1,1,D,,15,10,2,3,15,14,5,1,4,3,0,0,-1,-1,3,0.5,0.5,0.0
,Empoli,Milan,1,3,A,0,0,D,,16,19,4,6,15,10,3,7,4,2,0,0,-1,-2,4,0.5,0.5,0.0
,Lazio,Spezia,4,0,H,2,0,H,,13,14,6,2,3,14,3,6,0,2,0,0,1,4,4,0.5,0.5,0.0
,Lecce,Cremonese,1,1,D,1,1,D,,6,13,1,4,11,15,1,8,3,1,0,0,0,0,2,0.5,0.5,0.0
,Sampdoria,Monza,0,3,A,0,1,A,,3,13,1,6,16,24,2,4,2,2,0,0,-1,-3,3,0.5,0.5,0.0
,Sassuolo,Salernitana,5,0,H,2,0,H,,17,6,11,1,10,8,1,2,1,1,0,0,1,5,5,0.5,0.5,0.0
,Atalanta,Fiorentina,1,0,H,0,0,D,,10,16,5,5,12,10,1,5,2,2,0,0,1,1,1,0.5,0.5,0.0
,Juventus,Bologna,3,0,H,1,0,H,,17,9,6,1,11,15,2,4,0,1,0,0,1,3,3,0.5,0.5,0.0
,Verona,Udinese,1,2,A,1,0,H,,7,21,2,8,15,11,4,9,3,3,0,0,-1,-1,3,0.5,0.5,0.0
,Sassuolo,Inter,1,2,A,0,1,A,,15,16,3,4,14,17,6,5,3,2,0,0,-1,-1,3,0.5,0.5,0.0
,Milan,Juventus,2,0,H,1,0,H,,21,10,3,3,7,7,9,3,2,3,0,0,1,2,2,0.5,0.5,0.0
,Bologna,Sampdoria,1,1,D,1,0,H,,10,9,3,3,17,21,2,5,2,3,0,0,0,0,2,0.5,0.5,0.0
,Torino,Empoli,1,1,D,0,0,D,,20,6,7,2,15,9,6,1,2,4,0,0,0,0,2,0.5,0.5,0.0
,Monza,Spezia,2,0,H,1,0,H,,7,9,4,1,10,20,3,6,3,2,0,0,1,2,2,0.5,0.5,0.0
,Salernitana,Verona,2,1,H,1,0,H,,14,12,4,2,9,15,1,6,3,3,1,1,1,1,3,0.5,0.5,0.0
,Udinese,Atalanta,2,2,D,0,1,A,,10,9,2,5,11,12,5,3,2,3,0,0,0,0,4,0.5,0.5,0.0
,Cremonese,Napoli,1,4,A,0,1,A,,12,21,1,10,18,6,5,2,2,0,0,0,-1,-3,5,0.5,0.5,0.0
